ID,LOCATION,NAME,IMAGE
12013102,"59.883035,17.661403",Utk Hallen,https://lh6.ggpht.com/3kvMWMtuVGQIJMq_dzhtB2EsuNvmaVY4_26lHZ6t5KsXl4BfRL_lGMHEIT6oLBz5RdnSdvzYpxZL6k8AuUDZ0w
3689932,"59.838281,17.575995",Kulturoasen,https://lh3.ggpht.com/tErE1LxIvGig4z6fvBA409thF4DveQSyTqbqWNMsuGA28JmLpAdrMP9A-52UgsqNVSVWi5_O_aybpNmUvS82
9669876,"59.865914,17.677639",Bollhunden,https://lh6.ggpht.com/hr11YnuqzQqYOvQnzqNYh9Y0RyP7WU8VLV-IIPptFq-i7DZwiU5gqRO1WxzLTxiZH_iNfQWDlayOR1N0kBE
12013109,"59.886029,17.637362",The Farm,https://lh3.ggpht.com/IMmMxQD8VmP7E8Zo-q8-8OipdXzpatJVNlZx2aCWekeVyzwUiRiYx5wOQhcv_uWcMSK6u7_I_UoLSDitaHjm
49019920,"60.19477,17.901117",Wooden Skulpture,https://lh4.ggpht.com/NO7bkdyxaC93bOfLgl-FLKG7FNo4KcyQltflLR870XdJwvXopq3dWpDt-MXlFa9C7MyGkteRLvahSbZkP0Z7
34843445,"60.187371,18.392214",Carl Oxenstierna,https://lh5.ggpht.com/BJjyAn12PfhEnzBj_a-2QI6Kj96vbNy4wwjEIfVUiAVKNr6aMSdTi7XAYB8y6yb3V-Dl6n3WqnCAkGdZ_1k
3689923,"59.832096,17.690096",Danmarksvandringen,https://lh4.ggpht.com/fByrVw2gUxpIkBNVQJLtpdxjfQwJRSou9nm-P1wGtzx84yn1NlO04rhHf32loP2FPyFkurD7Bt9QLzMw1Hc
9669862,"59.858415,17.682149",Fyrislunds Station,https://lh6.ggpht.com/K2VAlcRlX_9RCZlKkcDZPY9GhdctpO9BPAszPmaIo5z4mlewHjoRyYErXpJ1JRUNEkRACT1sYa_2UOUO67k
9669744,"59.865141,17.629547",Svartbäckens Sim och Badinrättning,https://lh6.ggpht.com/9Xi6oGpmrRzaMABdPteptcKKq92vyBF0GcexEKvcO7_0jsBXda1Tgetc208en6GoMtomGkGnrXqyKwO3E2UR
49019919,"60.194873,17.889522",Vattenbruk,https://lh6.ggpht.com/dL9ILCjYxiljgCST75ZOFruMIrIQlHjbFtxMTqwWbbSopx7fvG1JP5GGAD9xdlHEMyvxOhf0OWHubvBY0KA
49019917,"60.206016,17.899645",Milsten Österbybruk,https://lh3.googleusercontent.com/7JTqDAvZJ3XT40nTkiSHclx6kW0aIHGapbfOdknjQp45v0LGYswB2gsA8w0MqPLdFlKOmA6tNucJk_yCvL8
238426,"59.629425,17.500292",U654 Varpsundsstenen,https://lh4.ggpht.com/T_XDu-aWPbWh5tc_xMVDUn1AlwpgykTwsOWRqgX73Fg7D7cswiOIXmYokreikknfiicy-CNnaSiyAtQqfeB1
938884,"60.276755,17.453068",Church of Husby,https://lh5.ggpht.com/8wxh5YgkLuwBwJu10oVm-m6kgUEKnHZkcYcBcj40-sxbadRgW5zNdftBqlI_DKIMHp-zCIOrs3SCyxhBKZXD
49019918,"60.194788,17.898503",Strålning,https://lh6.ggpht.com/bvn6O68Hxokpk6RJQoNasowVLFTQESe-VewkhjHzW6jBqqFJHyLNXdw6ITNa2uC22tfKOwS8IOnBmre27vJZ6A
12012153,"59.871862,17.64451",Awesome Treefort,https://lh6.ggpht.com/wA2Sg_8STKW0b63QLHbzRq4I232YXTeBREa5z6qq1bHk6baQGi14imMnzQlVQGjj4aEfq6kd9QhowvRFQJo
777420,"60.573059,17.454691",Älvkarleby Kyrka,https://lh5.ggpht.com/zv7fVKGyH9_MVejDvjjKmMs48HmYDmqwt3rNC32COXB3kzJ2Fwejy2P_5iOFbjqadZu7WUmqjvvdj-XWf9HQjQ
262891,"59.962509,17.697533",Storvreta Runsten,https://lh3.ggpht.com/pmpwOEZu9ESvE0aoiWJEhmV1gghJq2Tj81dgJ30lnYr3apm1Pdf2zo9nijj9vur-6smkhJo4fCBc5jgF0yWxZw
12013205,"59.876022,17.686004",Vaksala Kyrka,https://lh3.ggpht.com/iUwKYV9PaJhAobV4jrpPOGhN3eq_KI4vPUWy1CDIuQ5fmnW8O4kX3fXFMgW2y004NMZ1ZY53p1kJnz0RL8S9
12012117,"59.893361,17.620601",Miren,https://lh4.ggpht.com/BvKBJurMx9h7bcWpsKDzMYbfyR1FVezhN4_l1zerw9KVpP88bOEmxFQ-COwz299QfvglG7BBQGa9i7OCmsA
12012116,"59.893175,17.623523",Myskbocken,https://lh5.ggpht.com/tcX6DbSd8aOpa3wesTwUmUSGoZB4PpEt4SvwcfjQ7R4IJycU7A0R9vJOVyHBfm4JEQRiY-kfkx-XE4TaEuBSSA
9669736,"59.866586,17.632265",Blenda,https://lh4.ggpht.com/2gDn5rEGEl-gjC2iSEhYNC0LNdHGVAoVMvrlbrQK_dmXJK6gP8dT6vcQVAVZyCdhE2z1P-HD1odhHJcR4rSk
9669854,"59.870664,17.623837",Lekande Ringar,https://lh3.ggpht.com/uaLl58ZbJc2eOZ-qDc8pCRVXBkOVtlCzfDLh-ZcIDG0PWMFnTlUVhCvJ6OrZBWWQVVXVnIovTDYE33_Vi9R7wg
49004339,"60.231516,17.705996",Vattentorn,https://lh6.ggpht.com/RnWCDVjzFNeVg5X2EL7zfudjQoE18HMdtQrZjsl4fYvjg25Afsv7qElWC5iBvH4HIU04jYA1jkCuV2hDRFJF-g
49019940,"60.34814,17.510773",Tierps Vattentorn,https://lh6.ggpht.com/Dyag0k4N6dmzf1SxFxZO3Gq9gtZ4rVcc14MgTPY3aBUI4rasKs08_F7QPFjhUjtVLerYiJGess5bvkE9gVY
33542409,"60.260431,18.377264",Fyren,https://lh3.ggpht.com/U-PIcseEg0GMPxAl4C-23O-LO2nbcJH6wE-YRp5vGgwP4UxtWrWTSxn20QqT8D9Kn4kTihBFNE9zfVsYv43KlA
33542406,"60.259012,18.37367",Rådhuset,https://lh5.ggpht.com/5PPeSWFsOWuYe4AfaswDPfRKQnvjopse1hfcm1-SZ0Q6xz-Pwwoz6lW66TkB6yEF9rwSqXT4YjPNa_ZttJE
12012120,"59.885601,17.640701",Stencirklar,https://lh5.ggpht.com/BdJo1rDjZWAh8KUqDZs2n0dj6W5bzm-b2oN85btp_XpTnacnKlqjxrdqqGwUPyDay_bnHb5ZssXqSAgnZxoG
49074213,"60.402578,17.581798",Skulptur Av J&CG Bolinder Stockholm,https://lh5.ggpht.com/jinYkTKkRJJlrsFab1icL4poWPFzbKg9AEaC1-ee7tVw6JfpvvmaxHZD3hJDnA5j9MRBe_wNbN8kFjkB0Ucm
12012128,"59.874779,17.623122",Statue near Torbjörnstorg,https://lh4.ggpht.com/vciVFqWkM32w9oCTFLMuRhFoidAKcuQE2xKceKk4-PvlYuLO44jF7t279S6IwOIW2P04Tm8RgJP1hgN4X6js4Q
3689946,"59.849132,17.705255",Iron Urn,https://lh5.ggpht.com/UBtgEcLSxHdKDVZy2jqPjV69t_U7jVHMizfUN1_rxPtIXUWdJvSbjyKRn72Jq49LsAKubUn_u-i84usdspJGOA
9669603,"59.859349,17.631189",Folkvisan,https://lh6.ggpht.com/IaDQdySgMm6iofsQIa3DN3IDB8_eDiuaiaBn7yWB-YW9CuYrqy57TZfQsKwbt_q9kjixa7Cj8Z-JkWx-r0Bq
12012005,"59.874252,17.655153",Möbius Circles,https://lh3.googleusercontent.com/VG7dYXMIGoEQ6b-Pt763Ox5Sa1mwr1HFniuF23JT_2iBc7xFhW4c0PvuVOA-mQSyOSVj1VLmEsFAFbK0CO8
9669605,"59.858554,17.638929",Stora Torget,https://lh3.googleusercontent.com/109Dz-kj1PTEWuB9a2cFvitLobI9UOLo3Tph50UzFJjai_U67IFQDS1FVk1N9OQoLVDoGxiyotzGejniPBER
