ID;LOCATION;NAME;AREA
5785949;"60.825833;14.993813";Tällberg;Rättvik
49087659;"60.820719;14.995959";Non-violence Tällberg;Rättvik
6558500;"60.886368999999995;15.122114";Pingstkyrkan;Rättvik
49892131;"60.828184;14.983982000000001";Kissande Mannen;Rättvik
49084941;"60.941893;15.097437000000001";The Old Furnace;Rättvik
5789945;"60.732315;14.980709";Lakeside Cross;Rättvik
6558478;"60.88471;15.117533";Rättvikshäst;Rättvik
6558484;"60.880945;15.121792000000001";Lusthus;Rättvik
6558471;"60.884374;15.114605000000001";Sjövillan;Rättvik
6558476;"60.885891;15.118962999999999";Klockstapel;Rättvik
5789961;"60.73174;14.996884000000001";Bartimeus;Rättvik
621987;"60.713149;15.295086";Sågmyra Herrgård;Rättvik
6558512;"60.892222;15.100191";Stiernhööksstenen Monument;Rättvik
49006613;"60.895573999999996;15.078941";Rättviks Kallbadhus;Rättvik
6558486;"60.881073;15.119136000000001";Kyrkbåt Sörbyggarn;Rättvik
5785948;"60.795914;14.956037";Hjortnäs Fyr;Rättvik
49188621;"60.7312;14.9826";Leksands Kyrka;Rättvik
1050284;"60.88929;15.098256";Vasamonumentet Sten;Rättvik
5789944;"60.731326;14.983863999999999";Klocktorn;Rättvik
5789953;"60.731896;14.993744";Missionskyrkan i Rättvik;Rättvik
49091283;"60.6155;15.644511000000001";Skogskyrkogården;Falun
28761456;"60.65668;15.780565";Sundborns Kyrka;Falun
13392163;"60.602747;15.621338";Skate Park;Falun
34552994;"60.474117;15.463473";Gammal Basketplan;Falun
13392136;"60.614579;15.656825";Lugnetkyrkan;Falun
34552920;"60.464444;15.453922";Åselby Fountain;Falun
13392165;"60.606640999999996;15.659869";Falu pilar;Falun
49343190;"60.652263000000005;15.77506";Konsthallen Kvarnen;Falun
13392203;"60.605892999999995;15.635509";Hotel Bergmästaren;Falun
251105;"60.618101;15.618730000000001";Power Tower;Falun
13392140;"60.606891;15.627482";Villovägens Bryggeri AB;Falun
13392208;"60.605397;15.633721";Papperuts;Falun
558099;"60.500588;15.455709";Atoms;Falun
13392139;"60.60744;15.630437";Engelbrekt the Rebel;Falun
49300809;"60.620951000000005;15.626451999999999";Fountain Plaza;Falun
49300808;"60.61441;15.622945";J.D. Linds Gjuthus;Falun
244636;"60.503564;15.46509";Pojken;Falun
