ID;LOCATION;NAME;AREA
7594795;"59.3724;16.52539";StEskil;Eskilstuna
49394448;"59.433482000000005;16.635825";Sundby Kyrka;Eskilstuna
16968528;"59.421541;16.486632";Torsharg;Eskilstuna
9466696;"59.385853999999995;16.516049";Bollhuset;Eskilstuna
7594874;"59.364846;16.438105";Åsby Säteri;Eskilstuna
7594703;"59.375403000000006;16.506529999999998";Grå Valnöt;Eskilstuna
7594839;"59.36936299999999;16.483026";Snurror;Eskilstuna
9466756;"59.390328;16.537967";Palatset Skiftinge;Eskilstuna
9467337;"59.378032999999995;16.530396";Rutschkaneborg;Eskilstuna
7594774;"59.355978;16.437608";Mesta Friluftsområde;Eskilstuna
49017674;"59.421678;16.466832999999998";FOLKSKOLA FRÅN 1 900;Eskilstuna
7594746;"59.366972;16.52173";Mjölkcentralen;Eskilstuna
9467434;"59.396931;16.674578";Kjula Kyrkan;Eskilstuna
9466839;"59.392321;16.528001";Årby Naturreservat;Eskilstuna
7594888;"59.373042;16.556131";Jätte Jordgubbe;Eskilstuna
7594890;"59.370323;16.554046";Lilla Kloster Kyrka;Eskilstuna
7594687;"59.373416;16.506619999999998";Ungdomens Hus;Eskilstuna
7594767;"59.353141;16.471544";Kulan;Eskilstuna
16968618;"59.427552000000006;16.473754";Torshälla stads utegym;Eskilstuna
7594590;"59.366307;16.508945999999998";G.W. Dahl;Eskilstuna
7594748;"59.367591000000004;16.52333";Sista Dagars Heliga;Eskilstuna
16968660;"59.446901;16.624482999999998";Apelgården;Eskilstuna
9466746;"59.378187000000004;16.542528";Balsta Musikslott;Eskilstuna
7594614;"59.330251999999994;16.477225";Rosenforsparken;Eskilstuna
9466674;"59.391009999999994;16.634791";Hundträningsplats;Eskilstuna
7594818;"59.370492;16.480985";Vilande Tiger;Eskilstuna
7594570;"59.363589;16.536214";Lundqvist;Eskilstuna
7594810;"59.35912;16.517121";St Andreas Kyrka;Eskilstuna
7594878;"59.374736;16.518169";Klosters Kyrka;Eskilstuna
9466571;"59.382296000000004;16.520653";Head Blue N Red;Eskilstuna
9466779;"59.394909999999996;16.491796";Harlekin;Eskilstuna
9466583;"59.3848;16.520805";Årby IP;Eskilstuna
49394447;"59.441283;16.634415";Sigurdsristningen kunst;Eskilstuna
9466619;"59.391975;16.504805";Faster;Eskilstuna
7594780;"59.371985;16.521529";Tårtan;Eskilstuna
7594684;"59.372614000000006;16.514726";J.A. Selander;Eskilstuna
9467332;"59.390993;16.505782";Solklocka;Eskilstuna
9466617;"59.391782;16.514062";Årby naturreservat;Eskilstuna
9466760;"59.386412;16.544484999999998";Karl Hovbergsg. Soccer Field;Eskilstuna
7594575;"59.363782;16.531036";Trapphustorn;Eskilstuna
9467130;"59.379248000000004;16.495266";Ikaros;Eskilstuna
7594568;"59.366585;16.532239";Svalor;Eskilstuna
