ID;LOCATION;NAME;AREA
9345522;"55.994285;12.541902";Espergærde Bugs Bunny and Fudd Mural;Helsingborg
9345157;"56.033178;12.589535999999999";Vestervang Church;Helsingborg
32545471;"55.868683;12.819918";Small Anchor;Helsingborg
49346855;"55.996927;12.739652999999999";Gosse Med Båt;Helsingborg
9345349;"56.040425;12.611091";Grønnehave Station;Helsingborg
5949633;"55.882006000000004;12.541288";Rungstedgaard Kruka;Helsingborg
49962244;"56.03626;12.596544000000002";1 Km Til Helsingør;Helsingborg
43496;"56.211141999999995;12.557185";Klor;Helsingborg
1294964;"56.02263;12.747731";Alkaliska Källan;Helsingborg
1291922;"56.035992;12.725371";Bust of Hjalmar Branting;Helsingborg
49233469;"55.993990000000004;12.560541";Egebæksvang Sognehus;Helsingborg
1291910;"56.084576000000006;12.661733";Canek;Helsingborg
49191423;"56.185419;12.631496";Sveriges Cirkusmuseum;Helsingborg
9344791;"56.003028;12.574365";Egebæksvang Infotavle #2;Helsingborg
32545518;"55.882881000000005;12.826964";Kringelikrok;Helsingborg
12720322;"56.045873;12.692822";Surface Fountain;Helsingborg
285044;"56.143006;12.578932";Tur, Hopp Och Kärlek;Helsingborg
1293275;"56.198823;12.550984999999999";Fyrtorn i trä;Helsingborg
49176377;"56.037015000000004;12.579117";Skyggerne;Helsingborg
1295419;"56.044281;12.687322";Kosmiskt Rum;Helsingborg
9344829;"56.032933;12.614196";Station Sculpture;Helsingborg
1296244;"56.036399;12.610357";Erik af Pommern;Helsingborg
1291905;"56.021762;12.746058999999999";Bakom vågorna;Helsingborg
49270289;"55.991515;12.742878000000001";Ankare Vid Småbåtshamnen;Helsingborg
1295390;"56.042111999999996;12.699607";StadsBibliotek;Helsingborg
49849347;"56.011106000000005;12.723265000000001";Naturpunkten Sandmark;Helsingborg
1295313;"56.042164;12.710704";Fantastic Fountain;Helsingborg
1295474;"55.97072;12.541176";Viggo Jarl;Helsingborg
49192838;"56.060542;12.771816000000001";Bruces Skog;Helsingborg
1295306;"56.075998000000006;12.711057";Maria Station;Helsingborg
49216472;"56.197172;12.557336";Lekparken;Helsingborg
12720727;"56.048753;12.584369";LO Skolen;Helsingborg
5950328;"55.964077;12.533556";buer og søjler;Helsingborg
830450;"56.063582;12.678393";Legendary Henrik Larsson;Helsingborg
1293278;"56.199659;12.555298";Mormors skor;Helsingborg
1295316;"56.055147;12.722240999999999";Fredriksdals Vattentorn;Helsingborg
49947194;"56.055967;12.87225";Luggude Härads Sparbank;Helsingborg
1295481;"55.964166;12.529444";Fredensborg Bibliotekerne - Humlebæk;Helsingborg
1295242;"56.062211;12.728266";Typ Papperskorg;Helsingborg
32545537;"55.866555;12.825356";Le Due Forze;Helsingborg
49847506;"56.05568400000001;12.685846";Margaretaplatsens Minne;Helsingborg
49872036;"56.019903000000006;12.798169000000001";Välluvs Kyrka;Helsingborg
49176381;"56.027885;12.585476";Nøjsomhed & Kingo;Helsingborg
49861076;"56.010996;12.801174";Lekplats (1);Helsingborg
926409;"56.010188;12.757746999999998";Ättekullakyrkan;Helsingborg
49207887;"56.003661;12.724177000000001";Old Bunker;Helsingborg
1296286;"56.201496;12.559101";Den Lille Ko;Helsingborg
26063160;"55.867639000000004;12.831479";Landskrona Old Railway Station;Helsingborg
5949617;"55.93612099999999;12.526326000000001";Nivå Strand;Helsingborg
26063134;"55.875696;12.844990000000001";Debutanterna;Helsingborg
1295427;"56.048999;12.699733";Jakt;Helsingborg
12720725;"56.050909;12.585697";Old Art 2;Helsingborg
9345340;"56.010179;12.583588";Comwell Borupgaard;Helsingborg
1295309;"56.053402;12.704372";Sfär;Helsingborg
49860102;"55.875973;12.829025999999999";Lekplats (2);Helsingborg
9344853;"55.992685;12.560528";Il Divino Mural;Helsingborg
49931699;"55.879090000000005;12.534794000000002";Old Remis / Steam Train Year 1897;Helsingborg
9345222;"55.966055;12.774726000000001";Två Små Hästar;Helsingborg
12720877;"56.056716;12.712585";Fredriksdal;Helsingborg
