ID;LOCATION;NAME;AREA
3516327;"65.586;22.134";Ankdammsfyren;Luleå
3516307;"65.62;22.137";Wibergsgården;Luleå
3516275;"65.584;22.154";Reklampelaren;Luleå
3516339;"65.604;22.18";Night Spider;Luleå
49959084;"65.577;22.314";Map of Hertsöträsk;Luleå
3516409;"65.562;22.189";Stone Labyrinth;Luleå
3516375;"65.587;22.238";Hertsö IP;Luleå
3516360;"65.588;22.165";Death Mobile;Luleå
49083810;"65.595;22.069";Slagghall;Luleå
3516217;"65.617;22.128";Aurorum Science Park;Luleå
49843646;"65.573;22.098";Bergnäsets Bibliotek;Luleå
3516314;"65.598;22.174";Canoe House;Luleå
50012849;"65.58;22.247";Hertsö Bagarstuga;Luleå
3516332;"65.583;22.138";Samuel Gustaf Hermelin;Luleå
3516210;"65.58;22.175";Rondellpinnar;Luleå
49061639;"65.67;22.084";Rutvik café;Luleå
3516405;"65.618;22.139";B Alphabet Structure;Luleå
3516365;"65.606;22.107";Skulptur Tunastigen;Luleå
50018812;"65.701;22.34";Bottenvikens Skärgård Brändön;Luleå
3516297;"65.616;22.183";Rainbow Bird;Luleå
49084485;"65.599;22.068";Krigsfångesminnesmärke;Luleå
3516357;"65.589;22.17";Keramikrelief;Luleå
3516262;"65.601;22.153";The Molten Hand;Luleå
3516230;"65.583;22.151";Bird Eyes;Luleå
3516318;"65.593;22.189";Mirrors of Deception;Luleå
49187696;"65.616;22.155";Rainbow Road;Luleå
3516237;"65.584;22.148";Sveriges Riksbank Luleå Ano 1902;Luleå
49017694;"65.578;22.133";Green Outdoor Bed;Luleå
3516263;"65.602;22.155";The Worm;Luleå
3516281;"65.585;22.152";Silverträdet;Luleå
49061640;"65.642;22.038";Urnförvaringsrummet;Luleå
49843663;"65.587;22.2";Luleå Bear;Luleå
49084483;"65.507;22.355";Klubbviken Havsbad;Luleå
3516253;"65.58;22.2";Boxer;Luleå
3516274;"65.585;22.161";Luleå Busstation;Luleå
49060030;"65.484;21.958";Säljägarminne;Luleå
49843661;"65.584;22.204";Bear Statue;Luleå
3516226;"65.583;22.148";Luleå Domkyrka;Luleå
3516252;"65.58;22.2";Kyrka;Luleå
1143855;"65.646;22.027";Gammelstads Kyrka;Luleå
