ID;LOCATION;NAME;AREA
4663557;"40.81067;-74.00019";US Post Office;Manhattan
4630799;"40.677467;-73.973289";Bulletin Board;Manhattan
4631328;"40.625375999999996;-73.960564";Ave J Q Train;Manhattan
4684098;"40.718703;-73.80599";Colorful Geometric Patterned Mural;Manhattan
4676939;"40.742501999999995;-73.81004899999999";Kissena Park Velodrome;Manhattan
4631783;"40.619639;-73.966341";Rabbi Landau's Synagogue;Manhattan
3269034;"40.928867;-73.893442";Cristoforo Colombo;Manhattan
28057634;"40.70425;-73.98647199999999";Governance Scripture;Manhattan
3264910;"40.930106;-74.002378";Alfred Jack Christie Dedication;Manhattan
4685096;"40.839044;-74.090682";World War Monument;Manhattan
2822960;"40.885103;-73.85482200000001";United Church of Jesus Christ;Manhattan
4665541;"40.732606000000004;-73.837858";Model Airplane Field;Manhattan
3267555;"40.87026899999999;-73.90679899999999";Bailey Senior And Community Center;Manhattan
4681197;"40.699467;-73.96377600000001";Brooklyn Naval Hospital Cemetery;Manhattan
4649716;"40.900251;-74.12018400000001";Ramsey Graphics and Printing;Manhattan
4674380;"40.787231000000006;-73.96812100000001";NYC Architecture the St. Urban;Manhattan
4635069;"40.661353999999996;-73.99208800000001";Emanuel Pentecostal Church;Manhattan
4681959;"40.761475000000004;-73.98320899999999";Winter Garden Theatre;Manhattan
4675022;"40.768731;-73.936549";Spectre, 2013;Manhattan
4664985;"40.760163;-73.815148";Lutheran Church of St. John;Manhattan
4676923;"40.748021;-73.810054";Dedication to Oklahoma Bombing Victims;Manhattan
3738277;"40.69823100000001;-73.797094";Church Of God In Christ Jesus;Manhattan
4634575;"40.632259;-74.120904";Heritage Art Galleries;Manhattan
4673730;"40.780485999999996;-73.981249";Beacon Theatre;Manhattan
4674467;"40.777125999999996;-73.957785";Congregation of Zarua;Manhattan
4650966;"40.855993;-74.064377";Teterboro Airport;Manhattan
4634509;"40.631040999999996;-74.025623";Stone Gryphon;Manhattan
4630436;"40.619080999999994;-74.00131";Our Lady of Guadalupe Spring;Manhattan
4634310;"40.633651;-74.013973";Flag Mural;Manhattan
4677279;"40.767682;-73.82381000000001";Pillars of Faith Tabernacle;Manhattan
2824763;"40.912315;-73.839008";Mount Vernon City Hall;Manhattan
4683412;"40.711156;-74.038241";Historic Morris Canal Peninsula;Manhattan
4676663;"40.742226;-73.86688600000001";Iglesia Pentecostal Nuevo Pacto;Manhattan
4634984;"40.688761;-74.019264";Telephone In Tree Sculpture;Manhattan
4672757;"40.81972;-73.901874";Prospect Ave Train Station;Manhattan
4663670;"40.740475;-73.893733";St John Chrysostom Eastern Orthodox Catholic Church;Manhattan
4673242;"40.760259999999995;-73.965248";Felidia Dancing Maidens;Manhattan
679316;"40.876509999999996;-73.86436699999999";Immaculate Conception Catholic Church;Manhattan
49196649;"40.950797;-74.024811";Saint Joseph R.C. Church;Manhattan
4629305;"40.62924700000001;-74.123378";Tattoo Machine Wall Painting;Manhattan
4683336;"40.701327;-73.917564";Iglesia Evangelica Ebenezer;Manhattan
4649364;"40.923853;-74.13041700000001";Garretson Forge & Farm;Manhattan
4662663;"40.742842;-73.918737";Sunnyside Arch;Manhattan
4664665;"40.804918;-74.07810300000001";Suspended Rings at the Hiltons Meadowlands;Manhattan
3745660;"40.68695;-73.824705";Lefferts Public Library;Manhattan
4675575;"40.709094;-74.055781";Space Needle;Manhattan
4683833;"40.783927000000006;-74.109262";Paws & Claws;Manhattan
4648736;"40.849002;-74.107918";Stanislaw Strzelczyk;Manhattan
4664567;"40.735766;-73.869729";Statue of Mary;Manhattan
4629327;"40.619443000000004;-74.01378899999999";Youth Garden;Manhattan
3744476;"40.685849000000005;-73.870578";Pentecostal Church;Manhattan
4681147;"40.756353999999995;-73.913629";Sad Clown Mural;Manhattan
3737756;"40.695671000000004;-73.836473";Elohim Christian Church and Bethlehem Punjabi Church;Manhattan
4684081;"40.804174999999994;-74.12199199999999";United Presbyterian Church;Manhattan
2822327;"40.966163;-73.856861";Legoland Discovery Center Westchester at Ridge Hill;Manhattan
3267727;"40.894047;-73.896247";Aesop's Bench: Slow and Steady;Manhattan
4676217;"40.745976999999996;-73.846375";Queens Museum of Art;Manhattan
367071;"40.876487;-73.873213";Wall Art Mural;Manhattan
4678042;"40.746778000000006;-73.981191";Obelisk to Peace;Manhattan
3267852;"40.864249;-73.898581";St. James Park;Manhattan
4677106;"40.751672;-73.826398";Queens Botanical Garden;Manhattan
4649991;"40.950677000000006;-74.07074800000001";Waterfall;Manhattan
49084384;"40.763189999999994;-73.91587";FREE TEAM PHONE SKIN;Manhattan
4677412;"40.772366;-73.90502299999999";Steinway Reformed Church;Manhattan
3744478;"40.689276;-73.874526";Cypress Hill Cementery;Manhattan
4667495;"40.799251999999996;-73.96258399999999";Iglesia De Dios Pentecostal Emmanuel;Manhattan
4683813;"40.844713;-73.89893000000001";Stop and Go Playground;Manhattan
3263254;"40.884280000000004;-74.054412";In Memory of Carmela Toscano;Manhattan
4664732;"40.707276;-73.903418";Korean Square in Ridgewood Queens;Manhattan
4681817;"40.773656;-73.875905";American Airlines Building;Manhattan
4670508;"40.770602;-74.027097";Spanish American War Memorial Plaza;Manhattan
4634550;"40.616803000000004;-74.10402400000001";Norbert Leeseberg Perennial Garden;Manhattan
4669741;"40.816362999999996;-73.912245";US Post Office, Bronx;Manhattan
3268514;"40.864309000000006;-73.987167";United Methodist Church;Manhattan
4685698;"40.727522;-73.888786";Quick Brown Fox Triangle;Manhattan
3637032;"40.852776;-73.877968";Bronx Zoo - Eagle Statue;Manhattan
4649657;"40.846025;-74.12694499999999";Mouse House;Manhattan
4680395;"40.820572999999996;-73.944248";Church of the Meek;Manhattan
4681938;"40.761485;-73.990204";Biker;Manhattan
4649372;"40.863943;-74.13525299999999";R.W.B.C;Manhattan
4650969;"40.910438;-74.06256499999999";Welcome To Memorial Park;Manhattan
4680036;"40.711137;-74.010903";WTC Transportation Hub;Manhattan
4634589;"40.682172;-74.112044";Hudson County Park;Manhattan
4634081;"40.645709000000004;-73.902451";Rockaway Parkway L Train;Manhattan
4664640;"40.745799;-73.877657";Lion Head;Manhattan
3374286;"40.682731000000004;-73.828628";The United Methodist Church of Richmond Hill;Manhattan
4635648;"40.659535;-73.98012899999999";Our Lady's Field;Manhattan
4668650;"40.743309;-73.953785";Mary with Angels;Manhattan
4678897;"40.803146000000005;-73.97045999999999";Peter Jay Sharp Volunteer House;Manhattan
4662837;"40.804770000000005;-73.93798799999999";La Sinogoga;Manhattan
4629331;"40.621978;-74.022549";Tom McDonald Park;Manhattan
4685362;"40.713265;-73.79730500000001";Liberty;Manhattan
4649474;"40.855372;-74.121388";St Peter Catholic Church;Manhattan
4665587;"40.749683;-74.02595000000001";Maxwell House Coffee Plant;Manhattan
4632067;"40.615077;-73.98794099999999";Andy Cap Statue;Manhattan
4681500;"40.730203;-74.055363";Koch Memorial;Manhattan
1357176;"40.67379;-73.796259";Hope NYC Church;Manhattan
4678563;"40.752876;-74.009991";Long Time (Paul Ramirez);Manhattan
4636026;"40.689762;-73.957308";Lafayette Gardens Playground;Manhattan
4685637;"40.698767;-73.80882";Jamaica Station - AirTrain;Manhattan
4672018;"40.813645;-73.89133199999999";Fufidio Triangle;Manhattan
4683888;"40.786001999999996;-73.84916199999999";First Reformed Church, Built in 1872;Manhattan
4664889;"40.748846;-73.834326";Worlds Fair Marker Monument;Manhattan
4633563;"40.681729;-73.906057";Infant Jesus Community Garden;Manhattan
4630153;"40.634895;-74.111453";Iglesias Universal;Manhattan
