ID;LOCATION;NAME;AREA
4395859;"58.593121;16.169052999999998";Fontän i Folkparken;Norrköping
4395958;"58.605787;16.143843";Sköldpaddorna;Norrköping
4395829;"58.571073;16.170068";Vita Hästar;Norrköping
4395819;"58.575775;16.145485";Birds;Norrköping
4396027;"58.582884;16.192001";Katedral;Norrköping
49839919;"58.465526;16.160163";Hylinge Slott;Norrköping
4395871;"58.584936;16.161058999999998";ICA Nära Kneippen;Norrköping
4396215;"58.586469;16.162808000000002";Baptiststenen;Norrköping
4396229;"58.589071;16.15601";HOLMEN tennis Park;Norrköping
4396235;"58.574101999999996;16.166672";Söderledskyrkan;Norrköping
4395925;"58.595217000000005;16.184058";Delfinfontänen;Norrköping
4396313;"58.587995;16.187541";Gycklaren, Giganten och Jonglören;Norrköping
4396037;"58.582976;16.19149";Tre Löv;Norrköping
27452004;"58.481732;16.320478";Rådhuset;Norrköping
4396172;"58.587787;16.20334";Vattenträd;Norrköping
4395973;"58.573686;16.211224";Mirum Galleria;Norrköping
4395959;"58.572067000000004;16.197627";Myrsloken;Norrköping
4396104;"58.550436000000005;16.040679";Löfstad Slott;Norrköping
49048749;"58.593737;16.201376";Gamla Tullhuset;Norrköping
4396387;"58.582158;16.316714";Dagsbergs kyrka;Norrköping
4396176;"58.581367;16.17706";Domarringen;Norrköping
4395971;"58.598848000000004;16.153629";Bear with Cub Fountain;Norrköping
4395855;"58.592654;16.169785";Norra Entren;Norrköping
4396090;"58.584652;16.202091";Badhuset;Norrköping
4395967;"58.577787;16.155832";Adventkyrkan;Norrköping
4396241;"58.576792;16.197628";St Johannes Kyrka;Norrköping
4396020;"58.588978999999995;16.192093";Centrums Stora Cykel;Norrköping
4396224;"58.586859;16.155656";Femöringarna;Norrköping
4395945;"58.550632;16.038653";Löfstad Monument;Norrköping
4396144;"58.603731;16.142969";Whiteshrooms;Norrköping
4396024;"58.624767;16.154388";Rondellkonst;Norrköping
4395964;"58.616493;16.177591";Stranded Lighthouse;Norrköping
4396181;"58.584365000000005;16.171617";Statue of Gunnar Nordahl;Norrköping
4396304;"58.589132;16.180253";Arbetets Museum;Norrköping
18561457;"58.668361999999995;16.177461";Ättetorps Klocktorn;Norrköping
27451970;"58.479158;16.333144";Olof Lagberg;Norrköping
4396163;"58.592439999999996;16.159689999999998";Norra Gravkapellet;Norrköping
4396192;"58.583085000000004;16.181662";Ojämn Riktning;Norrköping
4396120;"58.569328999999996;16.188460000000003";Tallen Skylt #1;Norrköping
27452019;"58.483606;16.320965";Rabbit Crossing;Norrköping
4396390;"58.547374;16.019688";Järnvägen;Norrköping
683579;"58.483920000000005;16.321317";Rabbit Crossing 2;Norrköping
4396401;"58.619420000000005;16.176468";Hästkastanj;Norrköping
4396101;"58.640685000000005;16.257731";Stenhjul;Norrköping
4395908;"58.596405000000004;16.183466";Norrköpings Centralstation;Norrköping
4396348;"58.58738700000001;16.174791";Norrköpings Bomullsväveri AB;Norrköping
4396346;"58.589670000000005;16.17265";Gatekeeper's Cottage;Norrköping
4396155;"58.603076;16.246821";Tower;Norrköping
4395834;"58.567643;16.186795";Ekorren Skylt #6;Norrköping
4396141;"58.574996;16.2168";Big Birds;Norrköping
4396097;"58.572829999999996;16.095782";Eriksgatan i Östergötland;Norrköping
4396165;"58.594932;16.162671";Wall Art;Norrköping
27452038;"58.473487;16.334064";Stentraktor;Norrköping
4396063;"58.591686;16.19801";Naturarium;Norrköping
4396180;"58.584666;16.166677";Tekniken I Din Hand;Norrköping
4395976;"58.58641900000001;16.212978";Liten Park Med Lekplats;Norrköping
4396131;"58.580774;16.142378";Björkdungens Fontän;Norrköping
4396134;"58.564282;16.177041";Stenansikte;Norrköping
27451989;"58.464406;16.357210000000002";Skönberga Gate;Norrköping
4396068;"58.595664;16.192999";Mural;Norrköping
18561470;"58.68101;16.13973";Rödgölen;Norrköping
4396105;"58.587478;16.148176";Rymdkonstruktion;Norrköping
4395822;"58.577569000000004;16.149087";Byst;Norrköping
4396045;"58.582721;16.190898999999998";Sollefteå;Norrköping
4396404;"58.602493;16.159377";Old Climbing Tower;Norrköping
4396119;"58.568737;16.178753";Naturreservat Vrinneviskogen Norrköping;Norrköping
4396128;"58.596495;16.140919";Information Runes;Norrköping
4396384;"58.602408;16.323004";Bråvikens Golfklubba;Norrköping
4395938;"58.596143999999995;16.1832";Iron Art;Norrköping
4395827;"58.571304;16.168796";Vilbergskyrkan;Norrköping
4396151;"58.557195;16.225144";Varierad Skålform;Norrköping
27451972;"58.478295;16.322765";The Red Cloud;Norrköping
4395880;"58.593507;16.181092";Gustavianska Barnhuset;Norrköping
4395916;"58.592117;16.183878";Strömsfontänen;Norrköping
49048733;"58.578450000000004;16.222898";Smedby Idrottsplats;Norrköping
49864271;"58.567842;16.240025";Rambodals Grusplan;Norrköping
4396091;"58.585440999999996;16.200599";Grön Stor Cykel;Norrköping
4396218;"58.587602;16.163265";Tänkargrotta;Norrköping
4396221;"58.589177;16.161086";Ängeln och de döda;Norrköping
4396397;"58.593052;16.144528";Himmelstalunds Hällristningar;Norrköping
4395950;"58.576378;16.206443";Metal People;Norrköping
49172848;"58.668025;16.293962";Porträtt I Berget;Norrköping
27452025;"58.478899999999996;16.327669";Pingstkyrkan I Söderköping;Norrköping
4396143;"58.607826;16.1387";Flicka på stolpe;Norrköping
4396044;"58.584546;16.192682";Kulturhistoriskt Minnesmärke;Norrköping
4395850;"58.595459000000005;16.175618";Polisen;Norrköping
4396032;"58.58251;16.189837";Venus;Norrköping
4395965;"58.575366;16.161426";Rådjur Arvid Knöppel;Norrköping
4395977;"58.618763;16.156935";Gigantisk Riddare;Norrköping
4395845;"58.592844;16.177108";Cirkel;Norrköping
4395997;"58.59028;16.198992";Väggskulptur i Norrköping;Norrköping
4396393;"58.59245000000001;16.146656999999998";Himmelstalunds Hällristningar (2);Norrköping
49864272;"58.57071500000001;16.233117999999997";Tunnelmålning;Norrköping
4395993;"58.608647000000005;16.166761";Buselefanten;Norrköping
4396109;"58.587231;16.154794000000003";Brostugans Örtagård;Norrköping
4396294;"58.588896000000005;16.17908";Den Femte Skorstenen;Norrköping
4396255;"58.591623000000006;16.183788";Monsterfisk;Norrköping
27452042;"58.480593;16.311488999999998";Kapell;Norrköping
4396234;"58.576696;16.177315";Kaffebackfontänen;Norrköping
4396094;"58.568152;16.086236";Borgs Ekhagar;Norrköping
4396152;"58.561425;16.22692";Syrianska Ortodoxa Kyrkan;Norrköping
4395981;"58.577127;16.141174";Den Gamle Rutschkanan;Norrköping
4396339;"58.58651;16.170358";Berg & CO;Norrköping
