ID;LOCATION;NAME;AREA
2499858;"48.821164;2.20534";Scuplture de l'Escalier de la Fontaine d'Amour;Paris
2491067;"48.884460000000004;2.294301";Statue Helioplis;Paris
218610;"48.788247000000005;2.228224";Paroisse Du St Esprit;Paris
2286673;"48.733364;2.449247";Theatre De Villeneuve;Paris
2499044;"48.819115000000004;2.238688";Meudon-sur-Seine Tramway;Paris
987179;"48.771021000000005;2.459707";Fontaine Du Square De L'eau Vive;Paris
2503151;"48.839162;2.261041";Fontaine Wallace;Paris
2950674;"48.937425;2.31299";Chanteraines  Sculpture;Paris
548402;"48.780868;2.313738";Petits Bonshommes De Ferraille;Paris
2497917;"48.85297;2.448959";Ludothèque Des Rigollots;Paris
2951212;"48.979343;2.512295";Tour De Contrôle;Paris
2498803;"48.866108000000004;2.4698849999999997";Statut De Collamarini;Paris
2509089;"48.884997000000006;2.1963090000000003";Statue;Paris
2497663;"48.861655;2.2441999999999998";Stèle Des Martyrs De La Resistance;Paris
3541796;"48.69773;2.300399";Tour De Longjumeau;Paris
2502959;"48.884099000000006;2.2718890000000003";Eglise Saint-Pierre de Neuilly;Paris
2500253;"48.832376;2.496417";Viaduc Du Chemin De Fer;Paris
2286928;"48.694684;2.5135170000000002";Maison Sainte Hélène;Paris
2487276;"48.850896000000006;2.3139700000000003";Église Saint François Xavier;Paris
2497601;"48.917189;2.3013030000000003";Poste De Gennevilliers;Paris
3541495;"48.702799999999996;2.427452";Corne D'abondance;Paris
2950147;"48.985992;2.342309";Statue Ferdinand Berthoud;Paris
2950215;"48.945711;2.363355";Université Paris 8;Paris
2951154;"48.98486;2.318774";Vue de la Collégiale;Paris
2505937;"48.927498;2.17538";Houilles, Arr, They Be Pirates!;Paris
2492239;"48.854817000000004;2.361643";Eglise Saint Paul;Paris
2509061;"48.904959000000005;2.194806";Crâne De Canard;Paris
2951435;"48.98978;2.263217";Gare d'Ermont Halte;Paris
2499886;"48.905969999999996;2.47027";Horloge Du Rond Point;Paris
2507988;"48.877798;2.260856";Neuilly,  Théâtre Guignol;Paris
3540195;"48.730609;2.272386";Arbres De Pierre;Paris
2490062;"48.872847;2.296947";Façade du Drugstore;Paris
2950219;"48.939125;2.429604";eglise bourget;Paris
2950517;"48.980034999999994;2.298814";Mémorial à la mort de l'aviateur Charles Godefroy;Paris
2509006;"48.871842;2.2089440000000002";La Fontaine A Eau;Paris
2491521;"48.857129;2.341039";Statue D' Henri IV;Paris
2507706;"48.8956;2.276551";Marcel Cerdan;Paris
2509138;"48.846691;2.510621";Esplanade Michel Giraud;Paris
2497255;"48.843275999999996;2.418142";Monument Aux Morts;Paris
2286949;"48.759034;2.192709";Gare De Vauboyen;Paris
2951228;"48.939326;2.484591";Memorial Adolphe Petrement;Paris
2490288;"48.833826;2.3092070000000002";Bains-Douches La Main Collectif;Paris
2508302;"48.907413;2.315632";Carré du Commonwealth;Paris
