ID;LOCATION;NAME;AREA
10923959;"37.060047;14.897636";Monumento Ai Caduti Di Guerra;Ragusa, sicily
5032388;"36.923992999999996;14.728849";Palazzo Di Giustizia Via Natalelli;Ragusa, sicily
5032404;"36.863994999999996;14.761330999999998";S. Giorgio;Ragusa, sicily
5032502;"36.925281;14.747721";Portale San Giorgio;Ragusa, sicily
5032455;"36.985833;14.833888";Muragghiu Fattoria Musso;Ragusa, sicily
67988;"36.924685000000004;14.707948";Fontana Vittorio Veneto;Ragusa, sicily
5032552;"36.946227;14.603918";Mater Ecclesia;Ragusa, sicily
5032385;"36.926432;14.736919";Chiesa Anime Sante del Purgatorio;Ragusa, sicily
10923994;"37.030190999999995;14.703864";Arco Dell'Annunziata;Ragusa, sicily
5032428;"36.862326;14.759764";Teatro Garibaldi;Ragusa, sicily
10923969;"37.032493;14.702785";Chiesa Ss Salvatore;Ragusa, sicily
5032492;"36.9251;14.713462000000002";Owl's Gate Roundabout;Ragusa, sicily
19065304;"36.79264;14.707369";Palazzo Penna;Ragusa, sicily
5032550;"36.945868;14.604939";Fonte Diana;Ragusa, sicily
5032464;"36.942063;14.596025000000001";Piazzale Molinazzo;Ragusa, sicily
5032540;"36.863749;14.747202";Cimiteriali Modica;Ragusa, sicily
5032510;"36.925501;14.745725";Chiesa Della Maddalena;Ragusa, sicily
5032519;"36.925767;14.748416";S. Anna E Maria Ss. Bambina;Ragusa, sicily
5032572;"36.952695;14.601265000000001";Parco Comunale Baden Powell;Ragusa, sicily
5032507;"36.925629;14.744965";San Giuseppe;Ragusa, sicily
5032500;"36.926067;14.723317";Piazza Fonte;Ragusa, sicily
5032387;"36.925534999999996;14.729044000000002";Cattedrale S.Giovanni Battista;Ragusa, sicily
49953764;"36.763203;14.636106";Chiesa Santa Caterina Di Siena;Ragusa, sicily
5032441;"36.853184000000006;14.753982";Stazione Di Modica;Ragusa, sicily
10923999;"37.087139;14.560986999999999";Fontana della Vita;Ragusa, sicily
5032409;"36.926080999999996;14.749101999999999";Monumento Ai Caduti;Ragusa, sicily
10923957;"37.062529000000005;14.900457999999999";Chiesa Di San Michele Arcangelo;Ragusa, sicily
5032406;"36.958477;14.552468000000001";Fontana della Pace - Vittoria;Ragusa, sicily
19065307;"36.793608;14.706674";Municipio Di Scicli;Ragusa, sicily
5032535;"36.922094;14.727371999999999";Piazza Libertà;Ragusa, sicily
5032466;"36.881679;14.564148999999999";Castello di Donnafugata;Ragusa, sicily
5032425;"36.871064;14.762435";Piccolo Santuario;Ragusa, sicily
5032412;"36.87075;14.755567";Angel Statue;Ragusa, sicily
5032443;"36.854773;14.758634";Santa Maria delle Grazie;Ragusa, sicily
5032511;"36.926695;14.739531";Chiesa Sant Agnese;Ragusa, sicily
49839107;"36.94306;14.600980999999999";Parco Giochi Delle Grazie;Ragusa, sicily
19065310;"36.793454;14.704787";Chiesa Santa Teresa;Ragusa, sicily
5032481;"36.953534;14.544785000000001";Statua Nostro Signore;Ragusa, sicily
5032363;"36.926251;14.736189999999999";Portali Oglieri;Ragusa, sicily
19065298;"36.794914999999996;14.706989";Statua Pietro Busacca;Ragusa, sicily
19065293;"36.793123;14.707426";San Pietro Statua;Ragusa, sicily
5032403;"36.868007;14.760800000000001";san giovanni;Ragusa, sicily
49953321;"36.912744999999994;14.724565";Scultura Di Ferro;Ragusa, sicily
5032452;"36.952752999999994;14.60759";Murales;Ragusa, sicily
5032463;"36.941095;14.596933";Chiesa San Giuseppuzzu Comiso;Ragusa, sicily
5032392;"36.860523;14.760345000000001";Duomo S. Pietro;Ragusa, sicily
49953322;"36.907185000000005;14.712762";Murales di Evoca1;Ragusa, sicily
5032501;"36.926143999999994;14.743924";Fontana Piazza San Giorgio;Ragusa, sicily
5032571;"36.956502;14.600814999999999";Chiesa S. Apostoli;Ragusa, sicily
5032532;"36.91714399999999;14.73411";Petrulli Water Tower;Ragusa, sicily
5032542;"36.859225;14.761386";Chiesa San Domenico;Ragusa, sicily
5032517;"36.926563;14.742724";San Giorgio;Ragusa, sicily
5032447;"36.949884999999995;14.606325";monumento alla pace;Ragusa, sicily
