ID,LOCATION,NAME,IMAGE
49087659,"60.820719,14.995959",Non-violence Tällberg,blah_not_used_yet
6558500,"60.886368999999995,15.122114",Pingstkyrkan,blah_not_used_yet
49084941,"60.941893,15.097437000000001",The Old Furnace,blah_not_used_yet
5789945,"60.732315,14.980709",Lakeside Cross,blah_not_used_yet
6558478,"60.88471,15.117533",Rättvikshäst,blah_not_used_yet
6558484,"60.880945,15.121792000000001",Lusthus,blah_not_used_yet
6558471,"60.884374,15.114605000000001",Sjövillan,blah_not_used_yet
6558476,"60.885891,15.118962999999999",Klockstapel,blah_not_used_yet
5789961,"60.73174,14.996884000000001",Bartimeus,blah_not_used_yet
621987,"60.713149,15.295086",Sågmyra Herrgård,blah_not_used_yet
6558512,"60.892222,15.100191",Stiernhööksstenen Monument,blah_not_used_yet
49006613,"60.895573999999996,15.078941",Rättviks Kallbadhus,blah_not_used_yet
6558486,"60.881073,15.119136000000001",Kyrkbåt Sörbyggarn,blah_not_used_yet
5785948,"60.795914,14.956037",Hjortnäs Fyr,blah_not_used_yet
49188621,"60.7312,14.9826",Leksands Kyrka,blah_not_used_yet
1050284,"60.88929,15.098256",Vasamonumentet Sten,blah_not_used_yet
5789944,"60.731326,14.983863999999999",Klocktorn ,blah_not_used_yet
5789953,"60.731896,14.993744",Missionskyrkan ,blah_not_used_yet
