ID;LOCATION;NAME;AREA
1861151;"52.703872000000004;-2.012914";Church Of St. Chads;Stafford uk
1860345;"52.752498;-1.9708320000000001";Family Tree Sculpture, Birches Valley;Stafford uk
5281926;"52.638547;-2.284585";Donington Parish Council Plaque;Stafford uk
17495218;"52.69264;-2.287204";Horse in Dynamic Form;Stafford uk
7764580;"52.793968;-2.124586";Rowley Park Stadium;Stafford uk
3484170;"52.976620999999994;-2.104602";Meir Library;Stafford uk
1860350;"52.751178;-1.973033";Giant Bikes;Stafford uk
30962744;"52.890897;-2.201517";Yarnfield Post Office;Stafford uk
1861154;"52.710274999999996;-2.025383";Chase Baptist Church;Stafford uk
1861036;"52.694148;-2.033795";Cannock Chase Leisure Centre;Stafford uk
2155564;"52.628329;-1.966721";Pelsall Cenotaph;Stafford uk
1861033;"52.689020000000006;-2.029287";Parish Church of St Luke;Stafford uk
3484451;"52.985026999999995;-2.169545";Stoke City The Academy;Stafford uk
545650;"52.804274;-2.1124140000000002";Friends of Riverway Carved Trunk;Stafford uk
7764638;"52.840742999999996;-2.0435119999999998";Saracens Head;Stafford uk
7764517;"52.781512000000006;-2.263243";Gnosall Methodist Church;Stafford uk
10281953;"52.962455;-2.2016720000000003";Perseus and Medusa;Stafford uk
10281785;"52.958241;-2.203198";Tretham Tree Fairy;Stafford uk
7764408;"52.807125;-2.122382";Essence of The Orient;Stafford uk
7764389;"52.812273;-2.1212560000000003";Ashiana Kashmiri Restaurant;Stafford uk
4228750;"52.961505;-1.991093";The Anchor Inn Pub;Stafford uk
1860968;"52.661405;-1.943186";Chasewater Country Park Welcome Plaque;Stafford uk
30963021;"52.901118;-2.148984";Christina;Stafford uk
5281976;"52.636641;-2.283306";Shrewsbury Arms;Stafford uk
7764609;"52.819692;-2.036257";St Mary the Virgin Ingestre;Stafford uk
7764594;"52.810432;-2.090105";The Morris Man Pub;Stafford uk
10281989;"52.951185;-2.194658";Trentham Weir;Stafford uk
7764363;"52.78517600000001;-2.253278";Gnosall St. Lawrence Church;Stafford uk
3484487;"52.983099;-2.1530810000000002";St Paul's Church, Edensor;Stafford uk
