ID;LOCATION;NAME;AREA
11131616;"59.516;18.054";Arkils Tingstad;Stockholm
174498;"59.365;18.189";Hustegaholm;Stockholm
160947;"59.378;18.208";solur Handelsbanken;Stockholm
363213;"59.342;18.108";Gärdets utegym;Stockholm
11774870;"59.175;18.242";Tallar, Skogens Gamlingar;Stockholm
5289689;"59.415;17.913";Igelbäckens Kulturreservat;Stockholm
134465;"59.312;18.0";Nunna;Stockholm
770071;"59.313;18.013";Nynäs;Stockholm
854516;"59.349;18.055";Vanadis Castle;Stockholm
5081034;"59.496;18.073";Lekparken I Rallargränd;Stockholm
833085;"59.316;18.051";Zinkens IP;Stockholm
697503;"59.272;18.051";We See You;Stockholm
880094;"59.359;18.04";Haga Gård På Vasaslätten;Stockholm
5365978;"59.253;18.162";Flatenbadet;Stockholm
812167;"59.338;18.087";Mötande Havet;Stockholm
11131521;"59.529;17.915";Lilla Snigel Akta Dig;Stockholm
48979806;"59.371;18.003";Dining Plaza;Stockholm
862156;"59.334;17.941";Bouncing Rain Deer;Stockholm
5081360;"59.424;18.086";Brunnen Näsby Slott;Stockholm
771675;"59.365;18.077";Kungliga Djurgårdens Motionsspår;Stockholm
5371400;"59.256;18.117";Groda;Stockholm
5081507;"59.459;17.924";Art on the Station;Stockholm
804217;"59.365;17.834";White Pony;Stockholm
19500110;"59.25;17.827";Hästtrio;Stockholm
163073;"59.277;18.015";Älvsjömässan Fountain;Stockholm
5081047;"59.42;17.97";Viking Grave Field;Stockholm
35665402;"59.242;18.231";Street Art på Skatepark;Stockholm
1180934;"59.302;18.01";Nyapostoliska Kyrkan;Stockholm
17907622;"59.201;17.83";Colorful Sculpture;Stockholm
673817;"59.31;18.099";Vintagekonstverk;Stockholm
712481;"59.347;18.047";Korsets sköld;Stockholm
11131470;"59.522;17.93";Gravfält;Stockholm
5081146;"59.449;18.014";Mörtsjöskogen Info;Stockholm
11131200;"59.536;17.922";Hammarby Milestone;Stockholm
286542;"59.371;17.973";Med Karta och Kompass;Stockholm
49060022;"59.36;18.151";Victoria's Stiftelse;Stockholm
604771;"59.36;17.948";Magnificent Church Gate;Stockholm
37134;"59.348;17.998";Elephant Twins;Stockholm
702781;"59.294;17.97";Happy Octopus;Stockholm
11131211;"59.505;17.892";Väsbyån;Stockholm
648217;"59.323;18.097";Eclipse på Gröna Lund;Stockholm
185828;"59.365;17.968";Sundbyberg Tower;Stockholm
92792;"59.332;17.99";Gyllene Sol Med Klocka;Stockholm
705552;"59.331;18.098";Första Segelbåten;Stockholm
298827;"59.349;18.1";Old Mainframe in Entrance;Stockholm
1117875;"59.34;17.877";Blackeberg;Stockholm
303374;"59.351;17.901";Ancient Stone with Runes;Stockholm
425046;"59.365;17.943";Solvalla;Stockholm
17908003;"59.194;17.846";Björn-soffa;Stockholm
11131432;"59.539;18.059";Rosendals Södra Lekpark;Stockholm
90529;"59.351;18.159";Högsätra Skatepark;Stockholm
6739360;"59.246;17.868";Fittjaängsbadet;Stockholm
936026;"59.33;17.852";Gravrösen;Stockholm
87776;"59.331;18.035";Kungsholmens Baptistkyrka;Stockholm
402993;"59.361;17.825";Grupp Och Individ;Stockholm
1174718;"59.388;17.994";Gravfält Vid Överjärva;Stockholm
1072467;"59.33;18.013";Moby Dick by Johan Paalzow;Stockholm
57948;"59.317;18.056";Katalanskan;Stockholm
474027;"59.35;18.138";Bodals Church;Stockholm
1022519;"59.335;18.004";Crowd of Bugs;Stockholm
49399104;"59.372;18.003";Välkommen till Mall of Scandinavia!;Stockholm
5081708;"59.49;18.064";Fornstigen I Täby Kyrkby;Stockholm
11775202;"59.237;18.299";Gunnbjörns Runsten;Stockholm
16060;"59.304;17.973";Axelsberg Subway Art;Stockholm
536338;"59.358;18.029";Norra Begravningsplatsen Grind 6;Stockholm
