ID;LOCATION;NAME;AREA
7435458;"58.26783;12.266067";Kanalmuseum;Trollhättan
17300599;"58.346101;12.412065";Randhemsvallen;Trollhättan
7435432;"58.286783;12.288566000000001";Väggsvanar;Trollhättan
7435509;"58.269419000000006;12.306117";Kronan Kulturhus;Trollhättan
17300667;"58.380630000000004;12.324755000000001";Vänersborgs Björnen;Trollhättan
49312758;"58.363972;12.336179000000001";Bird Eyes;Trollhättan
17300600;"58.375965;12.314193";Andarnas Skepp;Trollhättan
17300672;"58.380012;12.327302000000001";Stone Monument;Trollhättan
17300607;"58.346643;12.302611";Brätte;Trollhättan
7435466;"58.268813;12.256644999999999";Åkersvass;Trollhättan
505635;"58.362249;12.403506";Vargöns Kyrka;Trollhättan
7435569;"58.283568;12.286344";Villa Stranna;Trollhättan
7435538;"58.286666;12.297777";Trädskulptur Kvinna;Trollhättan
106207;"58.044626;12.519848";Långared kyrka;Trollhättan
49408936;"58.076843000000004;12.495588";Sculptures;Trollhättan
17300601;"58.377838;12.31766";Vänersborgs Central Station;Trollhättan
17300665;"58.379983;12.328576";Bältesspännarna;Trollhättan
7435426;"58.319018;12.273842";Skogshöjdens Kyrka;Trollhättan
17300610;"58.358219;12.398508";Sjöodjuren i Vargön;Trollhättan
49077865;"58.333974000000005;12.267195000000001";Vassända Kyrka;Trollhättan
7435415;"58.263176;12.296847000000001";Lextorpkyrkans Klocktorn;Trollhättan
7435416;"58.272144;12.276468000000001";Saab Bilmuseum;Trollhättan
49077866;"58.301078;12.290768";Öar I Göta Älv;Trollhättan
17300652;"58.359221;12.391869999999999";Stationen Vargön;Trollhättan
17300619;"58.340281;12.36365";Statue "Everything is Possible";Trollhättan
7435419;"58.273438;12.280472999999999";Stor Kanin;Trollhättan
7435464;"58.279405000000004;12.300677";Isstadion Murals;Trollhättan
17300620;"58.341567000000005;12.359314000000001";Stjärnskulptur;Trollhättan
49077867;"58.255264000000004;12.261439000000001";Strutbräken;Trollhättan
49408935;"58.078626;12.493255000000001";Smedjan;Trollhättan
7435422;"58.268544000000006;12.283567";Watertowers;Trollhättan
17300617;"58.340395;12.357671000000002";Lion Statue;Trollhättan
7435479;"58.28428;12.280117";Strömkarlen;Trollhättan
7435421;"58.269734;12.275504";Spånet;Trollhättan
7435540;"58.287968;12.297588";Gammalt Vattentorn;Trollhättan
7435411;"58.286319;12.283551";Kvinnligt Konstverk;Trollhättan
7435476;"58.265336;12.264301";Ankare - Sjöfartsverket;Trollhättan
7435483;"58.282985;12.277025";Trolhetta  Quara;Trollhättan
7435454;"58.290493;12.295145";Folkets Park;Trollhättan
17300631;"58.380312;12.315439";Skiffer;Trollhättan
7435525;"58.245802000000005;12.418044";Väne Åsaka Kyrka;Trollhättan
238304;"58.287382;12.30449";Götalundens Kyrka;Trollhättan
17300657;"58.387639;12.325621";Fridastatyn;Trollhättan
17300638;"58.346453;12.431152";Ansiktsstaty;Trollhättan
7435407;"58.317309;12.266521000000001";Skummis Vid NÄL;Trollhättan
7435542;"58.281082;12.297951";Elefanten;Trollhättan
17300606;"58.345808;12.348230000000001";Samuel Sohlbergs Minnessten;Trollhättan
17300593;"58.363698;12.350044";Marierokyrkan;Trollhättan
17300689;"58.378454;12.326074";Trähuset;Trollhättan
7435586;"58.28517;12.285191000000001";Ankaret;Trollhättan
7438365;"58.329204;12.323962000000002";Onsjökapellet;Trollhättan
49077851;"58.274893999999996;12.270463";Älvrummet;Trollhättan
49625328;"58.056492;12.467595000000001";Kvarnabo Kyrka;Trollhättan
49408934;"58.078784999999996;12.494833";Entré Gräfsnäs Slottspark;Trollhättan
49077868;"58.290011;12.289263";Iron Ball;Trollhättan
618298;"58.31023;12.401414";Västra Tunhems Kyrka;Trollhättan
17300650;"58.357253;12.386271";Rondellen Vid Vargön Alloys;Trollhättan
377478;"58.325382;12.380066000000001";Torstensson Monumentet;Trollhättan
7435557;"58.252416;12.279667000000002";Vattentorn;Trollhättan
7435451;"58.290087;12.295794";Hälsans Stig;Trollhättan
7435523;"58.267066;12.258674";1844 Års Mellersta Slussar;Trollhättan
7435553;"58.277969999999996;12.266721";Butterfly in Woods;Trollhättan
7435563;"58.283407;12.287028";Materia et Motus;Trollhättan
7435506;"58.278445;12.285186";Industrial Artwork North;Trollhättan
17300679;"58.344001999999996;12.431735";Hunneberg Älg;Trollhättan
7435560;"58.283825;12.288891";Fontän, Skulptur;Trollhättan
17300637;"58.383313;12.299904";Jacks Backe;Trollhättan
49408919;"58.111756;12.519768";Erska Kyrka;Trollhättan
7435519;"58.27588;12.274101";Utsiktstorn Insikten;Trollhättan
17300664;"58.381186;12.322702";Fontän På Torget;Trollhättan
300000001;"58.296910;12.315095";STAB;Trollhättan
