ID;LOCATION;NAME;AREA
3690023;"59.750849;17.789359";The Wooden Man;Uppsala
3690218;"59.833388;17.65133";Kronparkens Klockstapel;Uppsala
12011999;"59.872686;17.653480000000002";Mosaic Cubelet;Uppsala
9669199;"59.856317000000004;17.611684";Advent Kyrkan;Uppsala
9669273;"59.853775999999996;17.635218000000002";Uppsala Slott;Uppsala
12011858;"59.897539;17.635099";Norra Uplands Skvadron;Uppsala
49494849;"59.736208000000005;17.461724";Wiks Slott;Uppsala
3689873;"59.844629000000005;17.649884";Gula Stigen;Uppsala
45058762;"59.723842000000005;17.792478";Olof Thunman;Uppsala
12012960;"59.891547;17.653809";Vaksalavandringen;Uppsala
3690203;"59.819174;17.69693";Gamla landsvägen;Uppsala
9670161;"59.856102;17.684772";Sittneeer;Uppsala
12011823;"59.878349;17.646883";Lötenkyrkans Klocktorn;Uppsala
3689909;"59.84481;17.624731";Kåboängen;Uppsala
3690104;"59.805667;17.635875";Brf Cellisten;Uppsala
3689544;"59.84953;17.636187";1850 MIL;Uppsala
9669413;"59.853928;17.639017";I Robot;Uppsala
9670245;"59.868208;17.641969";Lekplatsen vid Djäknegatans höghus;Uppsala
3690194;"59.831019;17.633754";SEB USIF Arena;Uppsala
3690129;"59.817256;17.688034";Fire truck playground;Uppsala
12013045;"59.877946;17.619383";Tunaberg Church;Uppsala
3689617;"59.79058;17.658485";Sunnerstaåsen;Uppsala
12013043;"59.875119;17.622476";Tuna Backar Statue;Uppsala
3689666;"59.808991;17.600300999999998";Gottsundavandringen Predikstolen;Uppsala
9669383;"59.852837;17.630786";Fontänen i Botaniska Trädgården;Uppsala
12012158;"59.871838999999994;17.643487";Klätterställningen i kapellgärdsparken;Uppsala
493345;"59.927013;17.484094";Åkerby Milsten;Uppsala
12012534;"59.854853;17.565289";Orange Arch and Mural;Uppsala
3690092;"59.81001;17.624385";Kissing;Uppsala
9669854;"59.870664;17.623837";Lekande Ringar;Uppsala
9670093;"59.861716;17.613666";Björngården;Uppsala
3690345;"59.842709;17.591801";Håga Bro;Uppsala
3690001;"59.85136;17.555919";Mural in Stenhagen;Uppsala
49954357;"59.859488;17.637407";Astronomen;Uppsala
9669219;"59.86549;17.668827";Flora by Axel Wallenberg;Uppsala
3689462;"59.813467;17.658763";Fågeltrumma;Uppsala
9670183;"59.854805999999996;17.649663";Apartment Mural;Uppsala
12012174;"59.882463;17.623033";Tecken;Uppsala
3689759;"59.787727;17.594511999999998";Uppsala-näs Church;Uppsala
3689905;"59.843656;17.620588";Stadsskogen Vattentorn;Uppsala
49080910;"59.809968;17.630795";The Art Of Signing;Uppsala
9669203;"59.854762;17.616783";Ridderskap;Uppsala
36553276;"59.734429;17.646615";Krusenberg Solur;Uppsala
3689843;"59.839890000000004;17.633044";Bat Art;Uppsala
3690244;"59.844276;17.689476";Suspended Cube;Uppsala
9669710;"59.866015;17.608538";Keyboard in Concrete;Uppsala
3690376;"59.848467;17.670491";Rostblomma;Uppsala
886577;"59.706748000000005;17.538073";Sånkan Rune Stone;Uppsala
262891;"59.962509;17.697533";Storvreta Runsten;Uppsala
635965;"59.922923;17.496879";Åkerby Bygdegård;Uppsala
3689479;"59.791520000000006;17.663425";Fiskar;Uppsala
9669466;"59.859055;17.639945";Endrogynen;Uppsala
3690197;"59.819634;17.701746999999997";Danmarksvandringen Nr 15;Uppsala
3690003;"59.850563;17.558607000000002";Svart Klot;Uppsala
3689871;"59.84135;17.649697";Feather Sculpture 360;Uppsala
9669964;"59.857011;17.625926";Doktorn;Uppsala
3690325;"59.844542;17.63993";Hästen;Uppsala
3689996;"59.848338999999996;17.556432";Curlinghallen;Uppsala
12013049;"59.8771;17.62031";Black Wall Art;Uppsala
49014141;"60.027377;17.553634000000002";Steeple of Björklinge;Uppsala
12013098;"59.886106000000005;17.655453";Beacon Of Light Östra Nyby;Uppsala
3690358;"59.849474;17.58332";Whale Mural;Uppsala
12012005;"59.874252;17.655153";Möbius Circles;Uppsala
45058773;"59.723932;17.804012";Särstabadet;Uppsala
9669791;"59.859201;17.666024";The Moose;Uppsala
12012116;"59.893175;17.623523";Myskbocken;Uppsala
3689962;"59.849650999999994;17.658514";Four Pillar Structure;Uppsala
3690365;"59.832982;17.744486000000002";Danmarks Kyrka;Uppsala
3689982;"59.82458;17.731941";Falebro;Uppsala
36553306;"59.705357;17.622548000000002";Välkommen till Skoklosters Slott;Uppsala
3689763;"59.758393999999996;17.646224";Kungshamn Morga Storsvian Naturresevat;Uppsala
12012433;"59.865975;17.68819";Porten;Uppsala
12011892;"59.898059;17.628177";Landskapet och människorna;Uppsala
12011835;"59.87162;17.697129";U969;Uppsala
3689670;"59.822876;17.654699";Kossan;Uppsala
3689896;"59.84599;17.644932";Sten Sturemonumentet;Uppsala
3690097;"59.81031;17.623345";Ugglorna;Uppsala
3690297;"59.822827000000004;17.712128";Danmarksvandringen Nr 17;Uppsala
12011985;"59.888773;17.647759";Rännan;Uppsala
12011996;"59.873976;17.651605";Bellman;Uppsala
9670041;"59.870104999999995;17.608287999999998";Skeppet;Uppsala
3690187;"59.829136;17.651008";Psyk Historiska Museum;Uppsala
3690368;"59.840979;17.602323";Rosa Fontana;Uppsala
3690273;"59.840773999999996;17.647892000000002";MIC;Uppsala
9670145;"59.858694;17.644962";Welcome Home;Uppsala
9670092;"59.863468;17.61168";Odd Fellow;Uppsala
229911;"59.955482;17.606594";Bell of Ärentuna;Uppsala
12011907;"59.876566;17.666362";Sara Stinas Stig 3;Uppsala
3690250;"59.838438;17.647377";RICH-speglar;Uppsala
9669640;"59.851809;17.628015";Carl Von Linné;Uppsala
12012977;"59.890972;17.623259";Kärlekspärlorna;Uppsala
12011914;"59.87739;17.664927000000002";Who if not you?;Uppsala
3689778;"59.825414;17.61131";Giant Bird Box;Uppsala
9670231;"59.857797;17.646416";Chain of Events;Uppsala
9669297;"59.857116;17.628846";Befrielsen;Uppsala
9670154;"59.862392;17.603728";Stabby Backe;Uppsala
3689730;"59.827296000000004;17.683484";Fågelberget;Uppsala
3690264;"59.839121;17.648262";Betongplatta med tillfällighet;Uppsala
491141;"59.888338;17.606751000000003";Gate Tower;Uppsala
3690221;"59.829296;17.667711";Danmarksvandringen Fågelplattformen;Uppsala
12828383;"59.97204;17.566533";Högsta Bälinge Socken;Uppsala
12013051;"59.879192;17.62753";Domarringen Frisbeegolfbana;Uppsala
12012773;"59.858266;17.579629";Bell Tower;Uppsala
9670156;"59.855790999999996;17.680643";Vattenfalls Vattentorn;Uppsala
3690087;"59.813333;17.621958";Ringlek;Uppsala
12013102;"59.883035;17.661403";Utk Hallen;Uppsala
12012120;"59.885601;17.640701";Stencirklar;Uppsala
3690136;"59.78914;17.655896000000002";Flottsundskyrkan;Uppsala
12013301;"59.91315;17.575469";Ulva kvarn;Uppsala
3690160;"59.819131;17.684183";Danmarksvandringen Nr 13;Uppsala
9669760;"59.856589;17.65652";Bergsbrunnaparken;Uppsala
12012603;"59.858428;17.690457";Glaskorset;Uppsala
9670031;"59.871026;17.670894";Faces in Tree;Uppsala
3690279;"59.839107000000006;17.640577";Kronparken (Dag Hammarskölds väg);Uppsala
12011994;"59.871374;17.65732";Red Sculpture;Uppsala
3690066;"59.813775;17.667682";Minnessten av Johan Arrhenius;Uppsala
9669876;"59.865914;17.677639";Bollhunden;Uppsala
9670206;"59.854878;17.65065";Lindvalls Kaffe;Uppsala
12012525;"59.857355;17.570846";Vattentrappan;Uppsala
3690468;"59.817524999999996;17.776235";Linnés Hammarby;Uppsala
12011900;"59.87761;17.672531";Unika Miljöer;Uppsala
3689913;"59.842931;17.617841000000002";Stadsskogen Gläntan;Uppsala
3689772;"59.834796000000004;17.60763";Stadsskogen;Uppsala
12013205;"59.876022;17.686004";Vaksala Kyrka;Uppsala
3689923;"59.832096;17.690096";Danmarksvandringen;Uppsala
43179542;"59.949695;17.695764";Sunbeam Monument;Uppsala
36518801;"59.69189;17.611297";Castle Park;Uppsala
12011826;"59.877939999999995;17.641837000000002";Supergungan Brf Ling;Uppsala
36553298;"59.704792;17.624";Runsten;Uppsala
12012536;"59.854972;17.566257";Avfärd;Uppsala
