ID;LOCATION;NAME;AREA
1292213;"56.316776;12.762201000000001";Delfinen Vejbystrand;Ängelholm
1291974;"56.285886;12.841845000000001";F10. Dragon / Draken;Ängelholm
1291952;"56.249686000000004;12.866464";LokStation;Ängelholm
49081270;"56.313376;12.765744";Lady And The Tramp;Ängelholm
1294808;"56.085577;12.913277";Bjuv Skate Park;Ängelholm
243445;"56.277963;12.94993";Tåstarps Kyrka;Ängelholm
1295306;"56.075998000000006;12.711057";Maria Station;Ängelholm
1291973;"56.288331;12.845127";Bloodhound MK II;Ängelholm
24021466;"56.243182999999995;12.861503";Stortorgs Fontänen;Ängelholm
563032;"56.077821;12.931248";Vattentornet;Ängelholm
1291969;"56.253215000000004;12.864355";Kanoner;Ängelholm
49191467;"56.072845;12.69993";Pålsjö Kyrkogård;Ängelholm
24021486;"56.259731;12.889086";Ängelholm Watertower;Ängelholm
1295384;"56.104820000000004;12.745367";Ödåkra TrainStation;Ängelholm
692157;"56.265227;12.836865";The Bunker;Ängelholm
1291949;"56.244381000000004;12.863582999999998";Var Är Du;Ängelholm
1295394;"56.070799;12.704442";Fontän;Ängelholm
1294806;"56.084955;12.914746000000001";Kommunalhus;Ängelholm
24021508;"56.260188;12.973843";Munka-Ljungby Kyrka;Ängelholm
1291959;"56.244667;12.861075";Hantverksmuseumet;Ängelholm
24021457;"56.242197999999995;12.865526";Gruvvagns Monument;Ängelholm
24021510;"56.258068;12.989198";Munka-Ljungby IP;Ängelholm
12720510;"56.079352;12.684792000000002";Sankta Maria;Ängelholm
24021499;"56.274805;12.838553";Ocean Ripple;Ängelholm
24021500;"56.225556999999995;12.844408";Kenny Jönsson Citat;Ängelholm
12720535;"56.063533;12.711024";Police Art;Ängelholm
24021455;"56.247499;12.859800000000002";Frukt Fontän;Ängelholm
12720508;"56.066626;12.715895";Kavalleristen;Ängelholm
96642;"56.066838;12.974400999999999";Billesholm Folkets Park Entré;Ängelholm
1295299;"56.068981;12.705843000000002";Flute Playing Boy;Ängelholm
1291971;"56.254042;12.864073";Teatern I Hembygdsparken;Ängelholm
1291942;"56.253617;12.831209";Key Holes;Ängelholm
